"ts","soc"
2024-02-19 14:25:00.000,100
2024-02-19 14:30:00.000,100
2024-02-19 14:35:00.000,100
2024-02-19 14:40:00.000,100
2024-02-19 14:45:00.000,100
2024-02-19 14:50:00.000,100
2024-02-19 14:55:00.000,100
2024-02-19 15:00:00.000,100
2024-02-19 15:05:00.000,100
2024-02-19 15:10:00.000,100
2024-02-19 15:15:00.000,100
2024-02-19 15:20:00.000,100
2024-02-19 15:25:00.000,99
2024-02-19 15:30:00.000,99
2024-02-19 15:35:00.000,99
2024-02-19 15:40:00.000,99
2024-02-19 15:45:00.000,99
2024-02-19 15:50:00.000,99
2024-02-19 15:55:00.000,98
2024-02-19 16:00:00.000,98
2024-02-19 16:05:00.000,98
2024-02-19 16:10:00.000,97
2024-02-19 16:15:00.000,97
2024-02-19 16:20:00.000,97
2024-02-19 16:25:00.000,96
2024-02-19 16:29:00.000,96
2024-02-19 16:30:00.000,96
2024-02-19 16:31:00.000,96
2024-02-19 16:34:00.000,95
2024-02-19 16:35:00.000,95
2024-02-19 16:40:00.000,95
2024-02-19 16:43:00.000,94
2024-02-19 16:45:00.000,94
2024-02-19 16:49:00.000,94
2024-02-19 16:50:00.000,93.5
2024-02-19 16:54:00.000,93
2024-02-19 16:55:00.000,93
2024-02-19 17:00:00.000,92
2024-02-19 17:01:00.000,92
2024-02-19 17:05:00.000,92
2024-02-19 17:10:00.000,91
2024-02-19 17:14:00.000,90
2024-02-19 17:15:00.000,90
2024-02-19 17:16:00.000,90
2024-02-19 17:18:00.000,90
2024-02-19 17:20:00.000,90
2024-02-19 17:25:00.000,89
2024-02-19 17:30:00.000,88
2024-02-19 17:34:00.000,88
2024-02-19 17:35:00.000,88
2024-02-19 17:39:00.000,87
2024-02-19 17:40:00.000,87
2024-02-19 17:41:00.000,87
2024-02-19 17:44:00.000,86
2024-02-19 17:45:00.000,86
2024-02-19 17:46:00.000,86
2024-02-19 17:47:00.000,86
2024-02-19 17:50:00.000,86
2024-02-19 17:55:00.000,85
2024-02-19 18:00:00.000,85
2024-02-19 18:03:00.000,84
2024-02-19 18:05:00.000,84
2024-02-19 18:08:00.000,84
2024-02-19 18:10:00.000,83
2024-02-19 18:15:00.000,83
2024-02-19 18:19:00.000,82
2024-02-19 18:20:00.000,82
2024-02-19 18:25:00.000,81
2024-02-19 18:27:00.000,81
2024-02-19 18:30:00.000,81
2024-02-19 18:32:00.000,81
2024-02-19 18:35:00.000,80
2024-02-19 18:40:00.000,80
2024-02-19 18:45:00.000,79
2024-02-19 18:46:00.000,79
2024-02-19 18:50:00.000,78
2024-02-19 18:55:00.000,78
2024-02-19 19:00:00.000,77
2024-02-19 19:05:00.000,76
2024-02-19 19:10:00.000,76
2024-02-19 19:15:00.000,75
2024-02-19 19:20:00.000,74
2024-02-19 19:25:00.000,74
2024-02-19 19:30:00.000,73
2024-02-19 19:35:00.000,72
2024-02-19 19:40:00.000,72
2024-02-19 19:41:00.000,72
2024-02-19 19:45:00.000,71
2024-02-19 19:50:00.000,71
2024-02-19 19:55:00.000,70
2024-02-19 20:00:00.000,69
2024-02-19 20:05:00.000,69
2024-02-19 20:10:00.000,68
2024-02-19 20:15:00.000,68
2024-02-19 20:20:00.000,67
2024-02-19 20:25:00.000,67
2024-02-19 20:30:00.000,66
2024-02-19 20:35:00.000,65
